system,enable,nodes,numproc_node,nthreads,elapse
Fugaku,yes,24,1,12,0:30:00
RC_GH200,yes,1,1,1,0:10:00
RC_DGXSP,yes,1,1,1,1:00:00
RC_GENOA,yes,1,1,48,2:00:00
RC_FX700,no,1,1,48,0:30:00
RIKYU,yes,1,4,1,0:30:00
RIKYU,yes,2,4,1,0:30:00
RIKYU,yes,3,4,1,0:30:00
RIKYU,yes,4,4,1,0:30:00
